last eat in detach is 0
i inside is 0
i inside is 1
1692318970316 2 has died
1692318970316 0 is thinking
1692318970316 0 is eating
1692318970316 1 is thinking
1692318970316 3 is thinking
1692318970316 3 is eating
1692318970316 2 is thinking
1692318970316 4 is thinking
1692318970317 3 is sleeping
1692318970317 0 is sleeping
1692318970317 4 is eating
1692318970317 1 is eating
1692318970318 0 is thinking
1692318970318 4 is sleeping
1692318970318 1 is sleeping
1692318970318 0 is eating
1692318970318 3 is thinking
1692318970318 2 is eating
1692318970318 1 is thinking
1692318970318 0 is sleeping
1692318970318 4 is thinking
1692318970318 4 is eating
1692318970318 1 is eating
1692318970318 2 is sleeping
1692318970319 0 is thinking
1692318970319 1 is sleeping
1692318970319 4 is sleeping
1692318970319 0 is eating
1692318970319 2 is thinking
1692318970319 3 is eating
1692318970320 1 is thinking
1692318970320 3 is sleeping
1692318970320 0 is sleeping
1692318970320 1 is eating
1692318970320 4 is thinking
1692318970320 4 is eating
1692318970321 0 is thinking
1692318970321 1 is sleeping
1692318970321 4 is sleeping
1692318970321 3 is thinking
1692318970321 2 is eating
1692318970321 0 is eating
1692318970322 1 is thinking
1692318970322 0 is sleeping
1692318970322 1 is eating
1692318970322 4 is thinking
1692318970322 4 is eating
1692318970322 2 is sleeping
1692318970323 0 is thinking
1692318970323 1 is sleeping
1692318970323 2 is thinking
1692318970323 4 is sleeping
1692318970323 0 is eating
1692318970323 3 is eating
1692318970324 4 is thinking
1692318970324 0 is sleeping
1692318970324 1 is thinking
1692318970324 1 is eating
1692318970324 3 is sleeping
1692318970324 4 is eating
1692318970324 0 is thinking
1692318970324 1 is sleeping
1692318970324 2 is eating
1692318970324 3 is thinking
1692318970324 4 is sleeping
1692318970324 0 is eating
1692318970324 1 is thinking
1692318970324 2 is sleeping
1692318970324 3 is eating
1692318970324 0 is sleeping
1692318970324 4 is thinking
1692318970324 1 is eating
1692318970324 3 is sleeping
1692318970324 2 is thinking
1692318970324 4 is eating
1692318970324 0 is thinking
1692318970324 1 is sleeping
1692318970324 2 is eating
1692318970325 3 is thinking
1692318970325 4 is sleeping
1692318970325 0 is eating
1692318970325 1 is thinking
1692318970325 2 is sleeping
1692318970325 3 is eating
1692318970325 0 is sleeping
1692318970325 4 is thinking
1692318970325 1 is eating
1692318970325 3 is sleeping
1692318970325 2 is thinking
1692318970325 4 is eating
1692318970325 0 is thinking
1692318970325 1 is sleeping
1692318970325 3 is thinking
1692318970325 2 is eating
1692318970325 4 is sleeping
1692318970325 0 is eating
1692318970325 1 is thinking
1692318970325 2 is sleeping
1692318970325 3 is eating
1692318970325 0 is sleeping
1692318970325 4 is thinking
1692318970325 1 is eating
1692318970326 1 is sleeping
1692318970326 3 is sleeping
1692318970326 2 is thinking
1692318970326 2 is eating
1692318970326 0 is thinking
1692318970326 4 is eating
1692318970327 1 is thinking
1692318970327 3 is thinking
1692318970327 2 is sleeping
1692318970327 4 is sleeping
1692318970327 3 is eating
1692318970327 0 is eating
1692318970327 2 is thinking
1692318970328 3 is sleeping
1692318970328 0 is sleeping
1692318970328 1 is eating
1692318970328 4 is thinking
1692318970328 4 is eating
1692318970328 1 is sleeping
1692318970328 3 is thinking
1692318970328 2 is eating
1692318970329 1 is thinking
1692318970329 1 is eating
1692318970329 2 is sleeping
1692318970329 0 is thinking
1692318970329 4 is sleeping
1692318970329 3 is eating
1692318970329 1 is sleeping
1692318970329 2 is thinking
1692318970329 0 is eating
1692318970330 0 is sleeping
1692318970330 4 is thinking
1692318970330 1 is thinking
1692318970330 1 is eating
1692318970330 3 is sleeping
1692318970330 0 is thinking
1692318970330 4 is eating
1692318970330 1 is sleeping
1692318970330 3 is thinking
1692318970330 2 is eating
1692318970330 4 is sleeping
1692318970330 0 is eating
1692318970330 1 is thinking
1692318970330 2 is sleeping
1692318970330 3 is eating
1692318970330 0 is sleeping
1692318970330 4 is thinking
1692318970331 1 is eating
1692318970331 1 is sleeping
1692318970331 3 is sleeping
1692318970331 2 is thinking
1692318970331 2 is eating
1692318970331 0 is thinking
1692318970331 4 is eating
1692318970331 1 is thinking
1692318970331 3 is thinking
1692318970331 2 is sleeping
1692318970331 4 is sleeping
1692318970331 0 is eating
1692318970331 3 is eating
1692318970331 2 is thinking
1692318970331 0 is sleeping
1692318970331 4 is thinking
1692318970331 1 is eating
1692318970331 3 is sleeping
1692318970331 4 is eating
1692318970332 0 is thinking
1692318970332 1 is sleeping
1692318970332 2 is eating
1692318970332 4 is sleeping
1692318970332 3 is thinking
1692318970332 0 is eating
1692318970332 1 is thinking
1692318970332 0 is sleeping
1692318970332 4 is thinking
1692318970332 4 is eating
1692318970332 1 is eating
1692318970332 2 is sleeping
1692318970332 1 is sleeping
1692318970332 2 is thinking
1692318970332 0 is thinking
1692318970332 4 is sleeping
1692318970332 0 is eating
1692318970332 3 is eating
1692318970338 0 is sleeping
1692318970338 1 is thinking
1692318970338 1 is eating
1692318970338 4 is thinking
1692318970338 3 is sleeping
1692318970338 4 is eating
1692318970338 0 is thinking
1692318970338 1 is sleeping
1692318970338 2 is eating
1692318970338 3 is thinking
1692318970338 4 is sleeping
1692318970338 0 is eating
1692318970338 1 is thinking
1692318970338 2 is sleeping
1692318970338 3 is eating
1692318970338 0 is sleeping
1692318970338 4 is thinking
1692318970338 1 is eating
1692318970338 3 is sleeping
1692318970338 2 is thinking
1692318970338 4 is eating
1692318970338 0 is thinking
1692318970338 1 is sleeping
1692318970338 2 is eating
1692318970339 1 is thinking
1692318970339 4 is sleeping
1692318970339 0 is eating
1692318970339 2 is sleeping
1692318970339 3 is thinking
1692318970339 3 is eating
1692318970340 0 is sleeping
1692318970340 4 is thinking
1692318970340 3 is sleeping
1692318970340 1 is eating
1692318970340 2 is thinking
1692318970340 4 is eating
1692318970341 0 is thinking
1692318970341 4 is sleeping
1692318970341 1 is sleeping
1692318970341 0 is eating
1692318970341 3 is thinking
1692318970341 4 is thinking
1692318970341 1 is thinking
1692318970341 0 is sleeping
1692318970341 1 is eating
1692318970341 4 is eating
1692318970342 1 is sleeping
1692318970342 0 is thinking
1692318970342 4 is sleeping
1692318970342 0 is eating
1692318970342 2 is eating
1692318970342 1 is thinking
1692318970342 0 is sleeping
1692318970342 4 is thinking
1692318970342 4 is eating
1692318970342 0 is thinking
1692318970342 4 is sleeping
1692318970343 4 is thinking
1692318970343 4 is eating
1692318970343 4 is sleeping
1692318970343 2 is sleeping
1692318970343 1 is eating
1692318970343 3 is eating
1692318970343 4 is thinking
1692318970343 1 is sleeping
1692318970343 3 is sleeping
1692318970343 4 is eating
1692318970344 1 is thinking
1692318970344 3 is thinking
1692318970344 4 is sleeping
1692318970344 0 is eating
1692318970344 3 is eating
1692318970345 0 is sleeping
1692318970345 1 is eating
1692318970345 3 is sleeping
1692318970345 4 is thinking
1692318970345 4 is eating
1692318970345 1 is sleeping
1692318970345 0 is thinking
1692318970345 3 is thinking
1692318970345 4 is sleeping
1692318970345 0 is eating
1692318970345 3 is eating
1692318970346 1 is thinking
1692318970346 0 is sleeping
1692318970346 1 is eating
1692318970346 3 is sleeping
1692318970346 4 is thinking
1692318970346 4 is eating
1692318970346 2 is thinking
1692318970346 1 is sleeping
1692318970346 0 is thinking
1692318970346 3 is thinking
1692318970346 4 is sleeping
1692318970346 2 is eating
1692318970346 0 is eating
1692318970347 1 is thinking
1692318970347 2 is sleeping
1692318970347 0 is sleeping
1692318970347 1 is eating
1692318970347 3 is eating
1692318970347 4 is thinking
1692318970347 2 is thinking
1692318970347 1 is sleeping
1692318970347 3 is sleeping
1692318970347 0 is thinking
1692318970347 4 is eating
1692318970347 2 is eating
1692318970348 2 is sleeping
